Episode,Filler,Arc,Year
1,0,0,2007
2,0,0,2007
3,0,0,2007
4,0,0,2007
5,0,0,2007
6,0,0,2007
7,0,0,2007
8,0,0,2007
9,0,0,2007
10,0,0,2007
11,0,0,2007
12,0,0,2007
13,0,0,2007
14,0,0,2007
15,0,0,2007
16,0,0,2007
17,0,0,2007
18,0,0,2007
19,0,0,2007
20,1,0,2007
21,1,0,2007
22,1,0,2007
23,1,0,2007
24,0,0,2007
25,0,0,2007
26,1,0,2007
27,1,0,2007
28,0,0,2007
29,1,0,2007
30,1,0,2007
31,1,0,2007
32,1,0,2007
33,1,0,2007
34,1,0,2007
35,1,0,2007
36,1,0,2007
37,1,0,2007
38,1,0,2007
39,1,0,2007
40,1,0,2007
41,1,0,2007
42,1,0,2008
43,1,0,2008
44,1,0,2008
45,0,0,2008
46,1,0,2008
47,1,0,2008
48,1,0,2008
49,0,0,2008
50,0,0,2008
51,1,0,2008
52,1,0,2008
53,1,0,2008
54,0,0,2008
55,1,0,2008
56,0,0,2008
57,0,0,2008
58,0,0,2008
59,0,0,2008
60,0,0,2008
61,0,0,2008
62,0,0,2008
63,0,0,2008
64,0,0,2008
65,0,0,2008
66,0,0,2008
67,0,0,2008
68,0,0,2008
69,0,0,2008
70,0,0,2008
71,0,0,2008
72,1,0,2008
73,1,0,2008
74,1,0,2008
75,1,0,2008
76,1,0,2008
77,1,0,2008
78,1,0,2008
79,1,0,2008
80,1,0,2008
81,1,0,2008
82,1,0,2008
83,1,0,2008
84,1,0,2008
85,1,0,2008
86,1,0,2008
87,1,0,2008
88,1,0,2008
89,0,0,2008
90,0,0,2008
91,0,0,2009
92,0,0,2009
93,0,0,2009
94,0,0,2009
95,0,0,2009
96,0,0,2009
97,0,0,2009
98,0,0,2009
99,0,0,2009
100,0,0,2009
101,0,0,2009
102,0,0,2009
103,0,0,2009
104,0,0,2009
105,0,0,2009
106,0,0,2009
107,0,0,2009
108,0,0,2009
109,0,0,2009
110,0,0,2009
111,0,0,2009
112,0,0,2009
113,1,1,2009
114,1,1,2009
115,0,1,2009
116,1,1,2009
117,1,1,2009
118,1,1,2009
119,1,1,2009
120,1,1,2009
121,1,1,2009
122,1,1,2009
123,1,1,2009
124,1,1,2009
125,1,1,2009
126,1,1,2009
127,0,1,2009
128,0,1,2009
129,1,1,2009
130,1,1,2009
131,1,1,2009
132,1,1,2009
133,1,1,2009
134,1,1,2009
135,1,1,2009
136,1,1,2009
137,1,1,2009
138,1,1,2009
139,1,1,2009
140,1,1,2009
141,1,1,2009
142,1,1,2010
143,1,1,2010
144,0,1,2010
145,0,1,2010
146,0,1,2010
147,0,1,2010
148,0,1,2010
149,0,1,2010
150,0,1,2010
151,0,1,2010
152,1,1,2010
153,1,1,2010
154,1,1,2010
155,1,1,2010
156,1,1,2010
157,1,1,2010
158,1,1,2010
159,1,1,2010
160,1,1,2010
161,1,1,2010
162,1,1,2010
163,1,1,2010
164,1,1,2010
165,1,1,2010
166,1,1,2010
167,1,1,2010
168,1,1,2010
169,1,1,2010
170,0,1,2010
171,0,1,2010
172,1,1,2010
173,1,1,2010
174,1,1,2010
175,1,1,2010
176,0,1,2010
177,0,1,2010
178,0,1,2010
179,0,1,2010
180,0,1,2010
181,0,1,2010
182,0,1,2010
183,0,1,2010
184,0,1,2010
185,0,1,2010
186,0,1,2010
187,0,1,2010
188,0,1,2010
189,0,1,2010
190,0,1,2010
191,0,1,2010
192,0,1,2010
193,0,1,2011
194,0,1,2011
195,0,1,2011
196,0,1,2011
197,1,1,2011
198,1,1,2011
199,1,1,2011
200,1,1,2011
201,1,1,2011
202,1,1,2011
203,1,1,2011
204,1,1,2011
205,1,1,2011
206,1,1,2011
207,1,1,2011
208,1,1,2011
209,1,1,2011
210,1,1,2011
211,1,1,2011
212,1,1,2011
213,0,1,2011
214,1,1,2011
215,1,2,2011
216,1,2,2011
217,1,2,2011
218,1,2,2011
219,1,2,2011
220,1,2,2011
221,1,2,2011
222,1,2,2011
223,0,2,2011
224,0,2,2011
225,0,2,2011
226,0,2,2011
227,0,2,2011
228,0,2,2011
229,0,2,2011
230,0,2,2011
231,0,2,2011
232,0,2,2011
233,0,2,2011
234,0,2,2011
235,0,2,2011
236,0,2,2011
237,0,2,2011
238,0,2,2011
239,0,2,2011
240,0,2,2011
241,0,2,2011
242,0,2,2011
243,1,2,2012
244,1,2,2012
245,1,2,2012
246,1,2,2012
247,1,2,2012
248,1,2,2012
249,1,2,2012
250,1,2,2012
251,1,2,2012
252,1,2,2012
253,1,2,2012
254,1,2,2012
255,1,2,2012
256,1,2,2012
257,0,2,2012
258,0,2,2012
259,0,2,2012
260,0,2,2012
261,1,2,2012
262,1,2,2012
263,1,2,2012
264,1,2,2012
265,1,2,2012
266,1,2,2012
267,1,2,2012
268,1,2,2012
